rho,noise,spatial_lz,temporal_lz,spatial_lz_std,temporal_lz_std
0.75,0.25,0.1171875,1.0,0.0008680555555555525,0.0
0.75,0.30000000000000004,0.11805555555555555,1.0,0.0,0.0
0.75,0.35000000000000003,0.11631944444444445,1.0,0.0017361111111111119,0.0
0.75,0.4,0.1154513888888889,1.0,0.0008680555555555594,0.0
0.75,0.45,0.1171875,1.0,0.0008680555555555525,0.0
0.85,0.0,0.015625,0.09836065573770492,0.0,0.0
0.85,0.05,0.1015625,0.9754098360655737,0.004340277777777776,0.008196721311475419
0.85,0.1,0.11197916666666666,1.0,0.0008680555555555594,0.0
0.85,0.15000000000000002,0.11024305555555555,1.0,0.0008680555555555525,0.0
0.85,0.2,0.11631944444444445,1.0,0.0017361111111111119,0.0
0.85,0.25,0.1189236111111111,1.0,0.0008680555555555594,0.0
0.85,0.30000000000000004,0.11631944444444445,1.0,0.0017361111111111119,0.0
0.85,0.35000000000000003,0.11805555555555555,1.0,0.0034722222222222238,0.0
0.85,0.4,0.11631944444444445,1.0,0.0,0.0
0.85,0.45,0.11979166666666666,1.0,0.005208333333333336,0.0
0.95,0.0,0.015625,0.09836065573770492,0.0,0.0
0.95,0.05,0.10243055555555555,0.9508196721311475,0.005208333333333336,0.016393442622950782
0.95,0.1,0.11024305555555555,1.0,0.0008680555555555525,0.0
0.95,0.15000000000000002,0.11805555555555555,1.0,0.0,0.0
0.95,0.2,0.11979166666666667,1.0,0.0,0.0
0.95,0.25,0.11458333333333334,1.0,0.0017361111111111119,0.0
0.95,0.30000000000000004,0.11805555555555555,1.0,0.005208333333333336,0.0
0.95,0.35000000000000003,0.1189236111111111,1.0,0.0008680555555555594,0.0
0.95,0.4,0.11979166666666667,1.0,0.0,0.0
0.95,0.45,0.11631944444444445,1.0,0.0034722222222222238,0.0
